context_3,context_2,context_1,response
,,,А теперь главный вопрос дня
,,А теперь главный вопрос дня,"ч происходит
ахахахх"
,А теперь главный вопрос дня,"ч происходит
ахахахх",Да
А теперь главный вопрос дня,"ч происходит
ахахахх",Да,"сиди кукуй \
в лагере
пока что
время будет у тебя
расскажем
тебе челы не звонили ?"
"ч происходит
ахахахх",Да,"сиди кукуй \
в лагере
пока что
время будет у тебя
расскажем
тебе челы не звонили ?","Окей
Нет пока что"
Да,"сиди кукуй \
в лагере
пока что
время будет у тебя
расскажем
тебе челы не звонили ?","Окей
Нет пока что",тебе чеченцы должны были позвонить
"сиди кукуй \
в лагере
пока что
время будет у тебя
расскажем
тебе челы не звонили ?","Окей
Нет пока что",тебе чеченцы должны были позвонить,Хорошо
"Окей
Нет пока что",тебе чеченцы должны были позвонить,Хорошо,"короче позвонят тебе
назначишь там время
когда тебе удобно"
тебе чеченцы должны были позвонить,Хорошо,"короче позвонят тебе
назначишь там время
когда тебе удобно","Хорошо, без проблем"
Хорошо,"короче позвонят тебе
назначишь там время
когда тебе удобно","Хорошо, без проблем",2к эп стоит
"короче позвонят тебе
назначишь там время
когда тебе удобно","Хорошо, без проблем",2к эп стоит,"Мы уже и не прогеры какие-то ахахаха
А бизнесмены!
Если Макс будет по итогу с нами
Вам бы раньше мне это сказать надо было 
Вписали бы в грант
Как продавана его
Или типо того"
"Хорошо, без проблем",2к эп стоит,"Мы уже и не прогеры какие-то ахахаха
А бизнесмены!
Если Макс будет по итогу с нами
Вам бы раньше мне это сказать надо было 
Вписали бы в грант
Как продавана его
Или типо того","не
наш грант наш грант
мы с максимом
другое делаем"
2к эп стоит,"Мы уже и не прогеры какие-то ахахаха
А бизнесмены!
Если Макс будет по итогу с нами
Вам бы раньше мне это сказать надо было 
Вписали бы в грант
Как продавана его
Или типо того","не
наш грант наш грант
мы с максимом
другое делаем","Понял
Точнее ничего не понял"
"Мы уже и не прогеры какие-то ахахаха
А бизнесмены!
Если Макс будет по итогу с нами
Вам бы раньше мне это сказать надо было 
Вписали бы в грант
Как продавана его
Или типо того","не
наш грант наш грант
мы с максимом
другое делаем","Понял
Точнее ничего не понял",ваххахаах
"не
наш грант наш грант
мы с максимом
другое делаем","Понял
Точнее ничего не понял",ваххахаах,Но очень интересно
,,,влад скинь почту гмаил
,,влад скинь почту гмаил,nugaevvladislav6@gmail.com
,,,"1. Neural Networks Co.
2. DataBricks
3. Brainwave Technologies
4. InsightIQ
5. Synapse AI
6. SmartData
7. Machine Intelligence Solutions
8. Cognifyx
9. Neuralmind
10. Artifex"
,,"1. Neural Networks Co.
2. DataBricks
3. Brainwave Technologies
4. InsightIQ
5. Synapse AI
6. SmartData
7. Machine Intelligence Solutions
8. Cognifyx
9. Neuralmind
10. Artifex",Да и есть косвенные
,,,голосование
,,,Чет дохуя если так смотреть
,,Чет дохуя если так смотреть,ты про чё
,,,чего дохуя
,,чего дохуя,"Brainwave AI
Synapse AI
Neural Networks Co."
,чего дохуя,"Brainwave AI
Synapse AI
Neural Networks Co.","мы за название голосуем
ахаххахахах
владик"
чего дохуя,"Brainwave AI
Synapse AI
Neural Networks Co.","мы за название голосуем
ахаххахахах
владик","Ничего не понимаю
Но конкурентов я ебу"
"Brainwave AI
Synapse AI
Neural Networks Co.","мы за название голосуем
ахаххахахах
владик","Ничего не понимаю
Но конкурентов я ебу","какие конкуренты
это названия
чатом gpt сгенерированные"
"мы за название голосуем
ахаххахахах
владик","Ничего не понимаю
Но конкурентов я ебу","какие конкуренты
это названия
чатом gpt сгенерированные","Хахахахахаххахахаха
Ебать
А своё придумать?
Вы настолько обленились
Скажите тему"
"Ничего не понимаю
Но конкурентов я ебу","какие конкуренты
это названия
чатом gpt сгенерированные","Хахахахахаххахахаха
Ебать
А своё придумать?
Вы настолько обленились
Скажите тему",он пизже придумает
"какие конкуренты
это названия
чатом gpt сгенерированные","Хахахахахаххахахаха
Ебать
А своё придумать?
Вы настолько обленились
Скажите тему",он пизже придумает,"Я как вожатый 7 отряда
Ебать приуспел
Названия отрядов
Для меня как семечки грызть"
"Хахахахахаххахахаха
Ебать
А своё придумать?
Вы настолько обленились
Скажите тему",он пизже придумает,"Я как вожатый 7 отряда
Ебать приуспел
Названия отрядов
Для меня как семечки грызть",хапххапхап
он пизже придумает,"Я как вожатый 7 отряда
Ебать приуспел
Названия отрядов
Для меня как семечки грызть",хапххапхап,"У нас название отряда ""Корона"" 
Ни у кого такого не было хаза"
,,,"""Bridge AI: Мост к Искусственному Интеллекту для Бизнеса – Раскройте Потенциал Вашего Предприятия!"""
,,,Да блять
,,Да блять,?
,,,"Крч, с батей поговорил
Он говорит сможет сделать документы что мы для его компании работали
Типа реальный кейс решали"
,,"Крч, с батей поговорил
Он говорит сможет сделать документы что мы для его компании работали
Типа реальный кейс решали","О класс, типа уже есть клиенты реальные"
,"Крч, с батей поговорил
Он говорит сможет сделать документы что мы для его компании работали
Типа реальный кейс решали","О класс, типа уже есть клиенты реальные","Типа мы нашли контору, для которой провели аналитику и написали нейронку
Ещё он сказал аналитика должна быть бесплатной обязатедбно
Иначе это никому не надо будет
Если аналитика покажет снижение расходов, то бизнесу будет некуда деваться придётся покупать"
"Крч, с батей поговорил
Он говорит сможет сделать документы что мы для его компании работали
Типа реальный кейс решали","О класс, типа уже есть клиенты реальные","Типа мы нашли контору, для которой провели аналитику и написали нейронку
Ещё он сказал аналитика должна быть бесплатной обязатедбно
Иначе это никому не надо будет
Если аналитика покажет снижение расходов, то бизнесу будет некуда деваться придётся покупать","а если нас будут юзать типа мы пришли такие, сказали где плохо и можно улучшить
и нас послали прост"
"О класс, типа уже есть клиенты реальные","Типа мы нашли контору, для которой провели аналитику и написали нейронку
Ещё он сказал аналитика должна быть бесплатной обязатедбно
Иначе это никому не надо будет
Если аналитика покажет снижение расходов, то бизнесу будет некуда деваться придётся покупать","а если нас будут юзать типа мы пришли такие, сказали где плохо и можно улучшить
и нас послали прост","Такие моменты надо продумать
Можно не говорить где плохо
Можно сказать на сколько плохо"
"Типа мы нашли контору, для которой провели аналитику и написали нейронку
Ещё он сказал аналитика должна быть бесплатной обязатедбно
Иначе это никому не надо будет
Если аналитика покажет снижение расходов, то бизнесу будет некуда деваться придётся покупать","а если нас будут юзать типа мы пришли такие, сказали где плохо и можно улучшить
и нас послали прост","Такие моменты надо продумать
Можно не говорить где плохо
Можно сказать на сколько плохо","хпахапхап
ну да, тоже вариант"
"а если нас будут юзать типа мы пришли такие, сказали где плохо и можно улучшить
и нас послали прост","Такие моменты надо продумать
Можно не говорить где плохо
Можно сказать на сколько плохо","хпахапхап
ну да, тоже вариант",Чтобы в случае отказа они не ушли к конкурентам с поставленными нами задачами
"Такие моменты надо продумать
Можно не говорить где плохо
Можно сказать на сколько плохо","хпахапхап
ну да, тоже вариант",Чтобы в случае отказа они не ушли к конкурентам с поставленными нами задачами,"даа
вот вот
олег, а ты на собрании говорил что проверял точность
ты получается не как задача временного ряда смотрел?"
"хпахапхап
ну да, тоже вариант",Чтобы в случае отказа они не ушли к конкурентам с поставленными нами задачами,"даа
вот вот
олег, а ты на собрании говорил что проверял точность
ты получается не как задача временного ряда смотрел?","Да
Го по этой теме в лс хааххаха
Или другую беседу
Можно сделать"
Чтобы в случае отказа они не ушли к конкурентам с поставленными нами задачами,"даа
вот вот
олег, а ты на собрании говорил что проверял точность
ты получается не как задача временного ряда смотрел?","Да
Го по этой теме в лс хааххаха
Или другую беседу
Можно сделать","ну хотя да мы вдвоем решаем, тогда личка"
"даа
вот вот
олег, а ты на собрании говорил что проверял точность
ты получается не как задача временного ряда смотрел?","Да
Го по этой теме в лс хааххаха
Или другую беседу
Можно сделать","ну хотя да мы вдвоем решаем, тогда личка","возьмите меня
в команду"
"Да
Го по этой теме в лс хааххаха
Или другую беседу
Можно сделать","ну хотя да мы вдвоем решаем, тогда личка","возьмите меня
в команду",Надо Марату сказатб
"ну хотя да мы вдвоем решаем, тогда личка","возьмите меня
в команду",Надо Марату сказатб,ну пока все равно заданий нет
"возьмите меня
в команду",Надо Марату сказатб,ну пока все равно заданий нет,На созвоне некст просто
Надо Марату сказатб,ну пока все равно заданий нет,На созвоне некст просто,"других
Вот такое надо чето"
ну пока все равно заданий нет,На созвоне некст просто,"других
Вот такое надо чето",Можете спросить во сколько во вторник будем показывать презентацию? Чтобы сразу если что Марата попросить чуть перенести собрание
На созвоне некст просто,"других
Вот такое надо чето",Можете спросить во сколько во вторник будем показывать презентацию? Чтобы сразу если что Марата попросить чуть перенести собрание,"А во скок созвон с Маратом?
Ещё же не поставили да?"
"других
Вот такое надо чето",Можете спросить во сколько во вторник будем показывать презентацию? Чтобы сразу если что Марата попросить чуть перенести собрание,"А во скок созвон с Маратом?
Ещё же не поставили да?","Пока вроде нет письма
Заранее хотел их предупредить чтобы"
Можете спросить во сколько во вторник будем показывать презентацию? Чтобы сразу если что Марата попросить чуть перенести собрание,"А во скок созвон с Маратом?
Ещё же не поставили да?","Пока вроде нет письма
Заранее хотел их предупредить чтобы",Давайте сделаем отдельную беседу по газу сделаем
"А во скок созвон с Маратом?
Ещё же не поставили да?","Пока вроде нет письма
Заранее хотел их предупредить чтобы",Давайте сделаем отдельную беседу по газу сделаем,Кинуть меня решили?
"Пока вроде нет письма
Заранее хотел их предупредить чтобы",Давайте сделаем отдельную беседу по газу сделаем,Кинуть меня решили?,"Так нет
Чтобы тебя не отвлекать
Ты же не участвуешь в стажировке"
Давайте сделаем отдельную беседу по газу сделаем,Кинуть меня решили?,"Так нет
Чтобы тебя не отвлекать
Ты же не участвуешь в стажировке","Да мне то что 
Я вижу ваши сообщения раз в час когда они прогружаются пхпх
Иметь так много бесед, если вам удобнее конечно то ок 
Но меня не отвлекаете"
Кинуть меня решили?,"Так нет
Чтобы тебя не отвлекать
Ты же не участвуешь в стажировке","Да мне то что 
Я вижу ваши сообщения раз в час когда они прогружаются пхпх
Иметь так много бесед, если вам удобнее конечно то ок 
Но меня не отвлекаете","Сможем завтра в 11-12 созвон сделать?
Мне прост в 2 уехать над будет"
"Так нет
Чтобы тебя не отвлекать
Ты же не участвуешь в стажировке","Да мне то что 
Я вижу ваши сообщения раз в час когда они прогружаются пхпх
Иметь так много бесед, если вам удобнее конечно то ок 
Но меня не отвлекаете","Сможем завтра в 11-12 созвон сделать?
Мне прост в 2 уехать над будет","Я наверн уеду уже
Завтра у меня жопа со временнм"
"Да мне то что 
Я вижу ваши сообщения раз в час когда они прогружаются пхпх
Иметь так много бесед, если вам удобнее конечно то ок 
Но меня не отвлекаете","Сможем завтра в 11-12 созвон сделать?
Мне прост в 2 уехать над будет","Я наверн уеду уже
Завтра у меня жопа со временнм","Я в 10 еду в Белорецк
Т.е. в час где то буду в городе
Можете без меня посидеть"
"Сможем завтра в 11-12 созвон сделать?
Мне прост в 2 уехать над будет","Я наверн уеду уже
Завтра у меня жопа со временнм","Я в 10 еду в Белорецк
Т.е. в час где то буду в городе
Можете без меня посидеть","Я уеду часов в 11 по делам
Если будет время утром, посижу поделаю чонить
Вы тоже если будет время поизучайте"
